,Barbecued Chicken,Red Peppers,Green Peppers,Tomatoes,Red Onions,Barbecue Sauce,Chicken,Artichoke,Spinach,Garlic,Jalapeno Peppers,Fontina Cheese,Gouda Cheese,Mushrooms,Asiago Cheese,Alfredo Sauce,Pesto Sauce,Corn,Cilantro,Chipotle Sauce,Pineapple,Thai Sweet Chilli Sauce,Bacon,Pepperoni,Italian Sausage,Chorizo Sausage,Sliced Ham,Mozzarella Cheese,Capocollo,Goat Cheese,Oregano,Anchovies,Green Olives,Kalamata Olives,Feta Cheese,Beef Chuck Roast,Brie Carre Cheese,Prosciutto,Caramelized Onions,Pears,Thyme,Nduja Salami,Pancetta,Friggitello Peppers,Calabrese Salami,Genoa Salami,Prosciutto di San Daniele,Arugula,Coarse Sicilian Salami,Luganega Sausage,Onions,Soppressata Salami,Artichokes,Peperoncini verdi,Provolone Cheese,Smoked Gouda Cheese,Romano Cheese,Blue Cheese,Ricotta Cheese,Gorgonzola Piccante Cheese,Parmigiano Reggiano Cheese,Eggplant,Zucchini,Sun-dried Tomatoes,Plum Tomatoes
0,96,574,175,948,675,96,299,80,310,975,202,108,80,272,113,33,91,122,122,122,163,93,98,286,29,29,71,368,257,133,57,49,205,122,151,63,7,7,7,7,7,23,23,23,78,47,48,48,56,56,56,29,196,77,72,72,72,72,75,75,75,29,76,58,27
1,86,669,188,1126,822,86,359,93,397,1220,243,130,93,369,154,48,112,150,150,150,193,106,125,386,36,36,88,482,304,146,56,48,247,154,211,78,9,9,9,9,9,40,40,40,89,70,57,57,79,79,79,37,238,90,88,88,88,88,102,102,102,37,96,75,40
2,113,689,221,1151,818,113,372,98,381,1164,258,133,98,336,130,31,113,160,160,160,186,109,113,365,33,33,78,435,284,143,59,66,243,140,188,75,8,8,8,8,8,37,37,37,77,66,50,50,75,75,75,36,223,84,81,81,81,81,85,85,85,38,100,70,32
3,98,654,210,1092,799,98,349,97,379,1193,233,135,97,353,131,38,109,136,136,136,192,108,116,347,38,38,85,474,276,133,59,74,251,141,196,73,11,11,11,11,11,34,34,34,82,63,65,65,71,71,71,39,215,74,97,97,97,97,102,102,102,42,103,70,38
4,117,713,221,1180,850,117,367,107,372,1245,264,149,107,350,141,40,112,157,157,157,192,106,124,363,37,37,87,457,303,154,73,66,249,146,191,85,11,11,11,11,11,47,47,47,81,70,61,61,81,81,81,43,219,81,78,78,78,78,99,99,99,42,99,65,31
5,104,685,220,1135,833,104,353,98,403,1226,240,133,98,368,142,45,104,143,143,143,185,94,118,357,39,39,92,463,333,180,80,52,234,135,190,66,13,13,13,13,13,44,44,44,93,61,59,59,66,66,66,36,237,100,82,82,82,82,99,99,99,33,105,68,33
6,114,710,221,1164,834,114,369,97,372,1212,267,134,97,343,118,39,119,171,171,171,184,98,117,342,35,35,87,475,268,142,59,60,258,146,193,85,11,11,11,11,11,40,40,40,79,48,55,55,88,88,88,38,220,83,85,85,85,85,111,111,111,44,105,63,31
7,97,675,207,1106,803,97,386,108,402,1149,259,144,108,347,124,33,116,151,151,151,212,114,124,352,36,36,99,451,270,131,55,60,236,146,195,73,10,10,10,10,10,42,42,42,80,61,62,62,67,67,67,37,219,76,75,75,75,75,93,93,93,34,93,81,43
8,95,665,219,1130,806,95,366,104,416,1215,253,147,104,369,145,35,111,149,149,149,193,98,115,382,37,37,95,485,289,148,65,61,241,157,201,74,8,8,8,8,8,40,40,40,74,68,51,51,73,73,73,44,237,84,88,88,88,88,107,107,107,37,106,74,41
9,118,736,228,1157,841,118,393,107,391,1185,276,146,107,374,158,53,110,170,170,170,215,109,124,363,38,38,107,469,302,156,68,55,235,129,179,60,11,11,11,11,11,39,39,39,79,69,71,71,71,71,71,40,236,88,79,79,79,79,90,90,90,42,103,70,34
